w0,w1,w2,w3,w4,total,mean_age,date
115,46,48,29,39,277,13.368231046931408,2022-04-22
81,75,38,31,32,257,13.171206225680933,2022-04-15
120,61,46,30,26,283,11.586572438162545,2022-04-08
108,71,44,32,39,294,13.095238095238095,2022-04-01
120,67,49,27,28,291,11.951890034364261,2022-03-25
109,69,37,15,21,251,10.51792828685259,2022-03-18
110,51,22,15,16,214,9.476635514018692,2022-03-11
122,52,29,19,20,242,10.305785123966942,2022-03-04
120,47,29,18,21,235,10.680851063829786,2022-02-25
109,52,27,13,24,225,10.755555555555556,2022-02-18
114,46,25,17,17,219,9.858447488584474,2022-02-11
98,57,24,14,12,205,9.439024390243903,2022-02-04
117,44,21,15,1,198,7.44949494949495,2022-01-28
106,52,23,4,5,190,7.705263157894737,2022-01-21
99,37,8,6,3,153,6.503267973856209,2022-01-14
107,19,17,6,10,159,7.886792452830188,2022-01-07
80,36,13,21,8,158,9.99367088607595,2021-12-31
84,30,28,10,4,156,8.743589743589743,2021-12-24
91,45,21,6,1,164,7.5060975609756095,2021-12-17
112,37,14,7,4,174,6.971264367816092,2021-12-10
104,36,15,9,8,172,8.186046511627907,2021-12-03
93,34,16,7,6,156,7.9743589743589745,2021-11-26
81,44,23,11,8,167,9.48502994011976,2021-11-19
94,47,20,10,4,175,8.108571428571429,2021-11-12
107,53,26,14,4,204,8.259803921568627,2021-11-05
118,46,37,8,10,219,8.625570776255708,2021-10-29
127,63,24,13,8,235,8.153191489361703,2021-10-22
112,48,28,12,6,206,8.155339805825243,2021-10-15
84,50,33,16,24,207,11.966183574879228,2021-10-08
94,77,28,16,24,239,11.158995815899582,2021-10-01
93,58,42,24,8,225,10.502222222222223,2021-09-24
107,80,47,24,28,286,12.178321678321678,2021-09-17
116,58,31,23,24,252,11.515873015873016,2021-09-10
126,54,24,16,2,222,7.887387387387387,2021-09-03
132,52,21,15,22,242,9.743801652892563,2021-08-27
149,51,28,19,26,273,9.945054945054945,2021-08-20
116,54,23,28,33,254,12.358267716535433,2021-08-13
98,37,37,28,22,222,12.518018018018019,2021-08-06
96,56,42,21,18,233,11.927038626609441,2021-07-30
105,76,29,14,14,238,10.100840336134453,2021-07-23
140,49,24,17,15,245,9.963265306122448,2021-07-16
136,34,23,9,23,225,10.364444444444445,2021-07-09
94,43,23,13,26,199,12.155778894472363,2021-07-02
138,35,15,15,29,232,10.689655172413794,2021-06-25
